id;name;last_name;email;phone_number;notes;created_at;enabled
1;calculating;Jacobs;Georgiana18@hotmail.com;Soft deposit Michigan;cultivate primary hardware;2021-12-30T23:50:18;false
2;synthesize;Tromp;Alize_Kuphal@yahoo.com;Berkshire Tasty Frozen Tuna;withdrawal;2021-12-30T18:35:41;true
3;Wisconsin groupware;Hickle;Benedict.Ryan@gmail.com;mobile Berkshire;Up-sized Bike;2021-12-30T15:13:08;true
4;function Legacy neural;Braun;Kelsie55@gmail.com;Cyprus neural;Checking Account;2021-12-31T08:39:36;true
5;olive Toys Awesome Cotton Computer;Roob;Conner_Hayes@hotmail.com;overriding Hawaii bluetooth;Taka Computer;2021-12-30T20:17:18;false
6;capacitor Tala bypass;Emard;Titus87@hotmail.com;Supervisor firewall;EXE Checking Account Accountability;2021-12-30T19:34:39;false
7;projection Fantastic Mouse;Runte;Trey.Wisozk@gmail.com;JSON facilitate;Valleys Plastic Pants;2021-12-31T03:01:00;false
8;process improvement orange;Nicolas;Daphne61@hotmail.com;Health;Shores Bike Technician;2021-12-30T18:20:01;false
9;web services Producer Berkshire;Miller;Guy36@yahoo.com;Pants;Gorgeous Metal Bacon fuchsia;2021-12-31T00:01:57;false
10;Principal;Schumm;Rhianna_Jones@gmail.com;Future Buckinghamshire Object-based;generate Facilitator copying;2021-12-30T23:01:02;true
